Cluster,Atlas,Region,NVoxels
Cluster 1,MNI_Glasser_HCP_v1.0,L_Primary_Visual_Cortex,3748.91
Cluster 1,MNI_Glasser_HCP_v1.0,R_Primary_Visual_Cortex,3067.29
Cluster 1,MNI_Glasser_HCP_v1.0,L_Second_Visual_Area,2385.67
Cluster 1,MNI_Glasser_HCP_v1.0,L_Third_Visual_Area,1704.05
Cluster 1,MNI_Glasser_HCP_v1.0,R_Second_Visual_Area,1363.24
Cluster 1,MNI_Glasser_HCP_v1.0,R_Third_Visual_Area,1022.43
Cluster 1,MNI_Glasser_HCP_v1.0,L_Fourth_Visual_Area,681.62
Cluster 1,MNI_Glasser_HCP_v1.0,R_Fourth_Visual_Area,681.62
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_V3A,340.81
Cluster 1,MNI_Glasser_HCP_v1.0,R_Eighth_Visual_Area,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Eighth_Visual_Area,0
Cluster 1,MNI_Glasser_HCP_v1.0,R_Sixth_Visual_Area,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_VentroMedial_Visual_Area_2,0
Cluster 1,MNI_Glasser_HCP_v1.0,R_Area_V3A,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_VentroMedial_Visual_Area_3,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_V3B,0
Cluster 1,MNI_Glasser_HCP_v1.0,R_VentroMedial_Visual_Area_3,0
Cluster 1,MNI_Glasser_HCP_v1.0,R_Dorsal_Transitional_Visual_Area,0
Cluster 1,CA_MPM_22_MNI,Area_hOc1_(V1),10224.30
Cluster 1,CA_MPM_22_MNI,Area_hOc3v_(V3v),5452.96
Cluster 1,CA_MPM_22_MNI,Area_hOc2_(V2),4089.72
Cluster 1,CA_MPM_22_MNI,Area_hOc3d_(V3d),3408.10
Cluster 1,CA_MPM_22_MNI,Area_hOc4v_(V4(v)),2726.48
Cluster 1,CA_MPM_22_MNI,Area_hOc4d_(V3A),1022.43
Cluster 1,CA_MPM_22_MNI,Area_hOc4lp,340.81
Cluster 1,CA_MPM_22_MNI,Area_FG1,0
Cluster 1,CA_MPM_22_MNI,Area_hOc4la,0
Cluster 1,CA_MPM_22_MNI,Area_FG3,0
Cluster 1,CA_MPM_22_MNI,Lobule_VIIa_crusI_(Hem),0
Cluster 1,CA_MPM_22_MNI,Lobule_VI_(Hem),0
Cluster 1,CA_ML_18_MNI,Right_Calcarine_Gyrus,4771.34
Cluster 1,CA_ML_18_MNI,Right_Lingual_Gyrus,4089.72
Cluster 1,CA_ML_18_MNI,Left_Lingual_Gyrus,4089.72
Cluster 1,CA_ML_18_MNI,Left_Calcarine_Gyrus,3748.91
Cluster 1,CA_ML_18_MNI,Left_Middle_Occipital_Gyrus,3067.29
Cluster 1,CA_ML_18_MNI,Left_Superior_Occipital_Gyrus,2385.67
Cluster 1,CA_ML_18_MNI,Left_Inferior_Occipital_Gyrus,2044.86
Cluster 1,CA_ML_18_MNI,Right_Superior_Occipital_Gyrus,1704.05
Cluster 1,CA_ML_18_MNI,Right_Cuneus,1363.24
Cluster 1,CA_ML_18_MNI,Right_Fusiform_Gyrus,681.62
Cluster 1,CA_ML_18_MNI,Left_Fusiform_Gyrus,340.81
Cluster 1,CA_ML_18_MNI,Left_Cuneus,340.81
Cluster 1,CA_ML_18_MNI,Right_Middle_Occipital_Gyrus,340.81
Cluster 1,CA_ML_18_MNI,Right_Inferior_Occipital_Gyrus,0
Cluster 1,CA_ML_18_MNI,Left_Cerebellum_(Crus_1),0
Cluster 1,CA_ML_18_MNI,Left_Cerebellum_(VI),0
Cluster 1,CA_ML_18_MNI,Right_Cerebellum_(VI),0
Cluster 1,CA_ML_18_MNI,Right_Precuneus,0
Cluster 1,CA_ML_18_MNI,TOTAL,34081
Cluster 2,MNI_Glasser_HCP_v1.0,L_Primary_Motor_Cortex,559.99
Cluster 2,MNI_Glasser_HCP_v1.0,L_Ventral_Area_6,366.89
Cluster 2,MNI_Glasser_HCP_v1.0,L_Area_55b,347.58
Cluster 2,MNI_Glasser_HCP_v1.0,L_Primary_Sensory_Cortex,231.72
Cluster 2,MNI_Glasser_HCP_v1.0,L_Premotor_Eye_Fields,135.17
Cluster 2,MNI_Glasser_HCP_v1.0,L_Frontal_Eye_Fields,0
Cluster 2,CA_MPM_22_MNI,Area_3b,19.31
Cluster 2,CA_MPM_22_MNI,Area_44,19.31
Cluster 2,CA_MPM_22_MNI,Area_4p,0
Cluster 2,CA_MPM_22_MNI,Area_1,0
Cluster 2,CA_ML_18_MNI,Left_Precentral_Gyrus,965.50
Cluster 2,CA_ML_18_MNI,Left_Postcentral_Gyrus,888.26
Cluster 2,CA_ML_18_MNI,TOTAL,1931
Cluster 3,MNI_Glasser_HCP_v1.0,L_Frontal_Eye_Fields,311.92
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_6_anterior,289.64
Cluster 3,CA_ML_18_MNI,Left_Precentral_Gyrus,958.04
Cluster 3,CA_ML_18_MNI,Left_Middle_Frontal_Gyrus,77.98
Cluster 3,CA_ML_18_MNI,Left_Postcentral_Gyrus,0
Cluster 3,CA_ML_18_MNI,TOTAL,1114
