Cluster,Atlas,Region,NVoxels
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_45,2549.80
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_8C,1784.86
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area__IFSa,1784.86
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_posterior_9-46v,1529.88
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_IFSp,1274.90
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_44,1019.92
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_47l_(47_lateral),1019.92
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_STGa,764.94
Cluster 1,MNI_Glasser_HCP_v1.0,L_Auditory_5_Complex,764.94
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_STSd_anterior,509.96
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_posterior_47r,509.96
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TE1_anterior,509.96
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_47m,509.96
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_IFJp,254.98
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_Frontal_Opercular,254.98
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_IFJa,254.98
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_anterior_47r,254.98
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_46,254.98
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_47s,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Rostral_Area_6,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_8Av,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_55b,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Premotor_Eye_Fields,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TA2,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TG_dorsal,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_anterior_9-46v,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_STSv_anterior,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_11l,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Auditory_4_Complex,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Frontal_Opercular_Area_4,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Anterior_Agranular_Insula_Complex,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_43,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Ventral_Area_6,0
Cluster 1,CA_MPM_22_MNI,Area_45,3569.72
Cluster 1,CA_MPM_22_MNI,Area_TE_3,1019.92
Cluster 1,CA_MPM_22_MNI,Area_44,764.94
Cluster 1,CA_MPM_22_MNI,Area_Fo3,0
Cluster 1,CA_ML_18_MNI,Left_Inferior_Frontal_Gyrus_(p._Triangularis),12239.04
Cluster 1,CA_ML_18_MNI,Left_Inferior_Frontal_Gyrus_(p._Orbitalis),4079.68
Cluster 1,CA_ML_18_MNI,Left_Precentral_Gyrus,2294.82
Cluster 1,CA_ML_18_MNI,Left_Inferior_Frontal_Gyrus_(p._Opercularis),1529.88
Cluster 1,CA_ML_18_MNI,Left_Temporal_Pole,1274.90
Cluster 1,CA_ML_18_MNI,Left_Middle_Temporal_Gyrus,1019.92
Cluster 1,CA_ML_18_MNI,Left_Superior_Temporal_Gyrus,764.94
Cluster 1,CA_ML_18_MNI,Left_Middle_Frontal_Gyrus,764.94
Cluster 1,CA_ML_18_MNI,Left_Rolandic_Operculum,0
Cluster 1,CA_ML_18_MNI,Left_Medial_Temporal_Pole,0
Cluster 1,CA_ML_18_MNI,TOTAL,25498
Cluster 2,MNI_Glasser_HCP_v1.0,R_Anterior_Ventral_Insular_Area,1266.44
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_47m,452.30
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_Frontal_Opercular,407.07
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_47s,361.84
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_anterior_47r,226.15
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_47l_(47_lateral),135.69
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_11l,90.46
Cluster 2,MNI_Glasser_HCP_v1.0,R_Anterior_Agranular_Insula_Complex,45.23
Cluster 2,MNI_Glasser_HCP_v1.0,R_Middle_Insular_Area,45.23
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_13l,0
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_45,0
Cluster 2,CA_MPM_22_MNI,Area_Fo3,316.61
Cluster 2,CA_ML_18_MNI,Right_Inferior_Frontal_Gyrus_(p._Orbitalis),2351.96
Cluster 2,CA_ML_18_MNI,Right_Insula_Lobe,904.60
Cluster 2,CA_ML_18_MNI,Right_Middle_Orbital_Gyrus,316.61
Cluster 2,CA_ML_18_MNI,Right_Inferior_Frontal_Gyrus_(p._Triangularis),135.69
Cluster 2,CA_ML_18_MNI,Right_Putamen,0
Cluster 2,CA_ML_18_MNI,TOTAL,4523
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_TemporoParietoOccipital_Junction_1,852.53
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_STSv_posterior,762.79
Cluster 3,MNI_Glasser_HCP_v1.0,L_Auditory_5_Complex,583.31
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_TE1_posterior,538.44
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_STSd_posterior,538.44
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_PHT,314.09
Cluster 3,MNI_Glasser_HCP_v1.0,L_Superior_Temporal_Visual_Area,134.61
Cluster 3,MNI_Glasser_HCP_v1.0,L_Auditory_4_Complex,0
Cluster 3,CA_MPM_22_MNI,Area_TE_3,403.83
Cluster 3,CA_MPM_22_MNI,Area_PFm_(IPL),0
Cluster 3,CA_MPM_22_MNI,Area_PF_(IPL),0
Cluster 3,CA_MPM_22_MNI,Area_PFcm_(IPL),0
Cluster 3,CA_ML_18_MNI,Left_Middle_Temporal_Gyrus,3948.56
Cluster 3,CA_ML_18_MNI,Left_Superior_Temporal_Gyrus,269.22
Cluster 3,CA_ML_18_MNI,TOTAL,4487
Cluster 4,MNI_Glasser_HCP_v1.0,R_Area_8BM,1003.52
Cluster 4,MNI_Glasser_HCP_v1.0,L_Area_8BM,394.24
Cluster 4,MNI_Glasser_HCP_v1.0,R_Superior_Frontal_Language_Area,358.40
Cluster 4,MNI_Glasser_HCP_v1.0,L_Superior_Frontal_Language_Area,322.56
Cluster 4,MNI_Glasser_HCP_v1.0,R_Area_8B_Lateral,250.88
Cluster 4,MNI_Glasser_HCP_v1.0,L_Area_8B_Lateral,107.52
Cluster 4,MNI_Glasser_HCP_v1.0,R_Supplementary_And_Cingulate_Eye,35.84
Cluster 4,MNI_Glasser_HCP_v1.0,L_Supplementary_And_Cingulate_Eye,0
Cluster 4,CA_ML_18_MNI,Right_Superior_Medial_Gyrus,1111.04
Cluster 4,CA_ML_18_MNI,Left_SMA,824.32
Cluster 4,CA_ML_18_MNI,Left_Superior_Medial_Gyrus,752.64
Cluster 4,CA_ML_18_MNI,Right_SMA,716.80
Cluster 4,CA_ML_18_MNI,Right_Superior_Frontal_Gyrus,0
Cluster 4,CA_ML_18_MNI,Left_Superior_Frontal_Gyrus,0
Cluster 4,CA_ML_18_MNI,TOTAL,3584
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_posterior_9-46v,468.18
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_IFSp,344.25
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_IFJa,137.70
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_44,13.77
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_8C,13.77
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_8Av,0
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_46,0
Cluster 5,CA_MPM_22_MNI,Area_45,41.31
Cluster 5,CA_ML_18_MNI,Right_Inferior_Frontal_Gyrus_(p._Triangularis),1142.91
Cluster 5,CA_ML_18_MNI,Right_Middle_Frontal_Gyrus,110.16
Cluster 5,CA_ML_18_MNI,Right_Inferior_Frontal_Gyrus_(p._Opercularis),13.77
Cluster 5,CA_ML_18_MNI,TOTAL,1377
