Cluster,Atlas,Region,NVoxels
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_PH,1043.46
Cluster 1,MNI_Glasser_HCP_v1.0,L_Perirhinal_Ectorhinal_Cortex,1043.46
Cluster 1,MNI_Glasser_HCP_v1.0,L_Ventral_Visual_Complex,927.52
Cluster 1,MNI_Glasser_HCP_v1.0,L_ParaHippocampal_Area_3,927.52
Cluster 1,MNI_Glasser_HCP_v1.0,L_Fusiform_Face_Complex,579.70
Cluster 1,MNI_Glasser_HCP_v1.0,L_Hippocampus,579.70
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TF,463.76
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TE2_posterior,347.82
Cluster 1,MNI_Glasser_HCP_v1.0,L_ParaHippocampal_Area_1,347.82
Cluster 1,MNI_Glasser_HCP_v1.0,L_ParaHippocampal_Area_2,347.82
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TE1_posterior,115.94
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_PHT,115.94
Cluster 1,MNI_Glasser_HCP_v1.0,L_Entorhinal_Cortex,115.94
Cluster 1,MNI_Glasser_HCP_v1.0,L_PreSubiculum,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TG_Ventral,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Area_TG_dorsal,0
Cluster 1,MNI_Glasser_HCP_v1.0,L_Piriform_Cortex,0
Cluster 1,CA_MPM_22_MNI,Area_FG3,1739.10
Cluster 1,CA_MPM_22_MNI,Area_FG4,1391.28
Cluster 1,CA_MPM_22_MNI,CA1_(Hippocampus),347.82
Cluster 1,CA_MPM_22_MNI,Subiculum,115.94
Cluster 1,CA_MPM_22_MNI,Entorhinal_Cortex,115.94
Cluster 1,CA_MPM_22_MNI,Amygdala_(LB),115.94
Cluster 1,CA_MPM_22_MNI,Lobule_VI_(Hem),0
Cluster 1,CA_MPM_22_MNI,DG_(Hippocampus),0
Cluster 1,CA_MPM_22_MNI,Thal:_Temporal,0
Cluster 1,CA_MPM_22_MNI,Thal:_Visual,0
Cluster 1,CA_MPM_22_MNI,Area_FG2,0
Cluster 1,CA_MPM_22_MNI,CA2_(Hippocampus),0
Cluster 1,CA_MPM_22_MNI,Area_hOc4la,0
Cluster 1,CA_MPM_22_MNI,CA3_(Hippocampus),0
Cluster 1,CA_MPM_22_MNI,Thal:_Parietal,0
Cluster 1,CA_MPM_22_MNI,Area_hOc5_(V5/MT),0
Cluster 1,CA_ML_18_MNI,Left_Fusiform_Gyrus,4521.66
Cluster 1,CA_ML_18_MNI,Left_Inferior_Temporal_Gyrus,3014.44
Cluster 1,CA_ML_18_MNI,Left_Middle_Temporal_Gyrus,811.58
Cluster 1,CA_ML_18_MNI,Left_ParaHippocampal_Gyrus,695.64
Cluster 1,CA_ML_18_MNI,Left_Hippocampus,347.82
Cluster 1,CA_ML_18_MNI,Left_Middle_Occipital_Gyrus,231.88
Cluster 1,CA_ML_18_MNI,Left_Cerebellum_(VI),115.94
Cluster 1,CA_ML_18_MNI,Left_Inferior_Occipital_Gyrus,0
Cluster 1,CA_ML_18_MNI,Left_Medial_Temporal_Pole,0
Cluster 1,CA_ML_18_MNI,Left_Cerebellum_(IV-V),0
Cluster 1,CA_ML_18_MNI,Left_Thalamus,0
Cluster 1,CA_ML_18_MNI,Left_Lingual_Gyrus,0
Cluster 1,CA_ML_18_MNI,Left_Temporal_Pole,0
Cluster 1,CA_ML_18_MNI,TOTAL,11594
Cluster 2,MNI_Glasser_HCP_v1.0,R_Perirhinal_Ectorhinal_Cortex,840.84
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_47s,764.40
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_posterior_47r,458.64
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_13l,382.20
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_47m,382.20
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_47l_(47_lateral),305.76
Cluster 2,MNI_Glasser_HCP_v1.0,R_Anterior_Agranular_Insula_Complex,305.76
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_anterior_47r,305.76
Cluster 2,MNI_Glasser_HCP_v1.0,R_Piriform_Cortex,229.32
Cluster 2,MNI_Glasser_HCP_v1.0,R_Hippocampus,152.88
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_11l,76.44
Cluster 2,MNI_Glasser_HCP_v1.0,R_posterior_OFC_Complex,76.44
Cluster 2,MNI_Glasser_HCP_v1.0,R_Entorhinal_Cortex,76.44
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_TG_dorsal,0
Cluster 2,MNI_Glasser_HCP_v1.0,R_Anterior_Ventral_Insular_Area,0
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_TG_Ventral,0
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_Frontal_Opercular,0
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_TF,0
Cluster 2,MNI_Glasser_HCP_v1.0,R_Area_45,0
Cluster 2,CA_MPM_22_MNI,Area_Fo3,1528.80
Cluster 2,CA_MPM_22_MNI,Amygdala_(LB),458.64
Cluster 2,CA_MPM_22_MNI,Entorhinal_Cortex,305.76
Cluster 2,CA_MPM_22_MNI,Subiculum,76.44
Cluster 2,CA_MPM_22_MNI,Amygdala_(AStr),0
Cluster 2,CA_MPM_22_MNI,CA1_(Hippocampus),0
Cluster 2,CA_MPM_22_MNI,Amygdala_(CM),0
Cluster 2,CA_MPM_22_MNI,Amygdala_(SF),0
Cluster 2,CA_ML_18_MNI,Right_Inferior_Frontal_Gyrus_(p._Orbitalis),3286.92
Cluster 2,CA_ML_18_MNI,Right_ParaHippocampal_Gyrus,687.96
Cluster 2,CA_ML_18_MNI,Right_Fusiform_Gyrus,611.52
Cluster 2,CA_ML_18_MNI,Right_Insula_Lobe,458.64
Cluster 2,CA_ML_18_MNI,Right_Middle_Orbital_Gyrus,458.64
Cluster 2,CA_ML_18_MNI,Right_Amygdala,305.76
Cluster 2,CA_ML_18_MNI,Right_Superior_Orbital_Gyrus,305.76
Cluster 2,CA_ML_18_MNI,Right_Temporal_Pole,229.32
Cluster 2,CA_ML_18_MNI,Right_Hippocampus,152.88
Cluster 2,CA_ML_18_MNI,Right_Medial_Temporal_Pole,76.44
Cluster 2,CA_ML_18_MNI,Right_Inferior_Temporal_Gyrus,76.44
Cluster 2,CA_ML_18_MNI,Right_Olfactory_cortex,0
Cluster 2,CA_ML_18_MNI,Right_Inferior_Frontal_Gyrus_(p._Triangularis),0
Cluster 2,CA_ML_18_MNI,Right_Middle_Frontal_Gyrus,0
Cluster 2,CA_ML_18_MNI,TOTAL,7644
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_47m,717.47
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_anterior_47r,386.33
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_11l,275.95
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_47s,165.57
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_13l,110.38
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_47l_(47_lateral),110.38
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_posterior_24,110.38
Cluster 3,MNI_Glasser_HCP_v1.0,L_Anterior_Ventral_Insular_Area,0
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_25,0
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_posterior_47r,0
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_dorsal_32,0
Cluster 3,MNI_Glasser_HCP_v1.0,L_Anterior_Agranular_Insula_Complex,0
Cluster 3,MNI_Glasser_HCP_v1.0,L_Area_a24,0
Cluster 3,CA_MPM_22_MNI,Area_Fo3,331.14
Cluster 3,CA_MPM_22_MNI,Area_33,0
Cluster 3,CA_MPM_22_MNI,Area_s24,0
Cluster 3,CA_ML_18_MNI,Left_Inferior_Frontal_Gyrus_(p._Orbitalis),3366.59
Cluster 3,CA_ML_18_MNI,Left_Middle_Orbital_Gyrus,165.57
Cluster 3,CA_ML_18_MNI,Left_Anterior_Cingulate_Cortex,55.19
Cluster 3,CA_ML_18_MNI,Left_Caudate_Nucleus,0
Cluster 3,CA_ML_18_MNI,Left_Inferior_Frontal_Gyrus_(p._Triangularis),0
Cluster 3,CA_ML_18_MNI,Left_Superior_Orbital_Gyrus,0
Cluster 3,CA_ML_18_MNI,Left_Middle_Frontal_Gyrus,0
Cluster 3,CA_ML_18_MNI,Left_Temporal_Pole,0
Cluster 3,CA_ML_18_MNI,Left_Insula_Lobe,0
Cluster 3,CA_ML_18_MNI,Left_Olfactory_cortex,0
Cluster 3,CA_ML_18_MNI,TOTAL,5519
Cluster 4,MNI_Glasser_HCP_v1.0,R_Ventral_Area_24d,0
Cluster 4,MNI_Glasser_HCP_v1.0,R_Area_6_anterior,0
Cluster 4,CA_ML_18_MNI,Right_SMA,66.12
Cluster 4,CA_ML_18_MNI,Right_Middle_Cingulate_Cortex,0
Cluster 4,CA_ML_18_MNI,Right_Superior_Frontal_Gyrus,0
Cluster 4,CA_ML_18_MNI,Right_Caudate_Nucleus,0
Cluster 4,CA_ML_18_MNI,Right_Middle_Frontal_Gyrus,0
Cluster 4,CA_ML_18_MNI,TOTAL,2204
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_IFSp,824.51
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_posterior_9-46v,261.43
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area__IFSa,60.33
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_45,40.22
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_8C,40.22
Cluster 5,MNI_Glasser_HCP_v1.0,R_Area_IFJa,20.11
